title,url_link
"

15년차 프로그래머(개발자)가 그만둔 이유 (feat 모든일은 기초가 중요하다)
",https://www.youtube.com/watch?v=4MR25oNbsXE
"

영화의전당 직무소개 1탄! #영화프로그래머
",https://www.youtube.com/watch?v=eu_siTFe838
"

초등학생도 이해하는 프로그래밍 기초
",https://www.youtube.com/watch?v=P3CasrExlmE
"

프로그래머스 국비교육 7일 vlog/올빼미 생활/웹프론트엔드 개발취준생
",https://www.youtube.com/watch?v=sl44BPlrW9w
"

개발 분야, 얼마나 알고 계신가요? (feat. 진로 탐색 가이드)
",https://www.youtube.com/watch?v=wZ-djOD2FdE
"

천재 프로그래머가 '최선을 다한다는 것'의 진짜 속뜻을 말합니다  ㅣ  폴 그레이엄
",https://www.youtube.com/watch?v=-iFnw1-VGnc
"

일반인이 생각하는 프로그래밍 vs 현실 프로그래밍 2탄
",https://www.youtube.com/watch?v=f53Xk2uuwNY
"

내일을 잡아라_시스템소프트웨어 프로그래머_한국고용정보원
",https://www.youtube.com/watch?v=iCOFqsIzjbU
"

프로그래머 5가지 수입 ( ft. 시급 70만원 )
",https://www.youtube.com/watch?v=6KXaICvYzYA
"

1. 프로그래머와 개발자의 차이 그리고 코딩을 꼭 해야 하는가?
",https://www.youtube.com/watch?v=-5Ar2QjOtfI
"

개발자 하세요! 프로그래머 장점.
",https://www.youtube.com/watch?v=Lmr59UiiaGs
"

멋쟁이사자처럼 프로그래머 이두희 / 더 이상 나를 천재해커라 부르지 마라
",https://www.youtube.com/watch?v=hUZuOYO_BAA
"

프로그래머스 국비교육 코딩테스트 합격? 불합격?
",https://www.youtube.com/watch?v=57bq77WnTIU
"

스마일게이트 직무소개! VR 게임 프로그래머 편
",https://www.youtube.com/watch?v=lVRVFMyl9lg
"

프로그래머 수학 잘해야 하나요? (feat. 개발 경력 20년차 인터뷰)
",https://www.youtube.com/watch?v=1krUFiuo5EY
"

프로그래머단점. 2. 끊임없는 공부
",https://www.youtube.com/watch?v=oLeh81jP8Yo
"

[Swift] 프로그래머스 두 개 뽑아서 더하기
",https://www.youtube.com/watch?v=fXj2Cog1hS0
"

프로그래머스 파일명 정렬 (python)
",https://www.youtube.com/watch?v=IcNPpsG8i2s
"

입 벌려, 레오스 카락스 신작 들어간다 | 서승희 프로그래머 | 더 친절한 프로그래머2
",https://www.youtube.com/watch?v=Z7krvZIkjEc
"

게임프로그래머 테크트리
",https://www.youtube.com/watch?v=iyELYDohb1M
"

웹 프로그래머 - 직업소개 (연봉, 업무, 현실, 프로그래머)
",https://www.youtube.com/watch?v=FLTNByWBTOE
"

생활습관을 고쳐야 좋은 엔지니어(프로그래머)가 된다
",https://www.youtube.com/watch?v=PCkFeHJxJn4
"

소수 찾기 프로그래머스 C++ 문제 풀이
",https://www.youtube.com/watch?v=FYCwmJbRXPY
"

프로그래머스 로또의 최고 순위와 최저 순위 (python)
",https://www.youtube.com/watch?v=c6xP4e1PXAU
"

[NDC] 신입 게임 프로그래머가 되는법 - 넥슨 채용 프로세스 단계별 분석
",https://www.youtube.com/watch?v=9XNFtbUmsLY
"

다이어트프로그래머
",https://www.youtube.com/watch?v=Wa0fWb-NuLc
"

라이징 프로그래머 수료식, 우승팀은 누구? | 라프 최종화
",https://www.youtube.com/watch?v=PGYyzqN3CGQ
"

[크리티컬 레전드]프로그래머 T1,T2 만드는법
",https://www.youtube.com/watch?v=CfUmoJxPQVU
"

프로그래머스 백엔드 데브코스 3분 요약 | 백엔드 개발자가 되기 위해 필요한것?
",https://www.youtube.com/watch?v=3A1Ingvx118
"

프로그래머 사이먼이 알려주는 컴퓨터적 사고(CT)
",https://www.youtube.com/watch?v=vxY6JlHg128
"

프로그래머스 자율주행 데브코스 | 제2회 자율주행 경진대회
",https://www.youtube.com/watch?v=8LzUUPVyS1I
"

[독서광] 실용주의 프로그래머 20주년 기념판
",https://www.youtube.com/watch?v=Yu4nwRjWjoA
"

크리티컬 레전드 마스터 프로그래머 티어3 얻는법!!
",https://www.youtube.com/watch?v=dklSClAJwPY
"

N사 프로그래머 이지혜 남편
",https://www.youtube.com/shorts/PzfeBYfmtI8
"

마스터 프로그래머
",https://www.youtube.com/watch?v=rfyRGQs-iHA
"

1억 받는 개발자(프로그래머) 포트폴리오 공개.
",https://www.youtube.com/watch?v=zT7Qe8BiIh8
"

프로그래머로 살아남기 위해 필요한 언어 둘
",https://www.youtube.com/watch?v=ESU2IkFj9VM
"

자신이 게임개발을 좋아하는지 알아보는법! [남세]
",https://www.youtube.com/watch?v=quPswRbzPkw
"

게임 개발자, 개발자 인터뷰, 게임 엔진 프로그래머와 테크니컬 아티스트를 함께 만나다.
",https://www.youtube.com/watch?v=3wm1mbhp_eE
"

프로그래머 vs 코더
",https://www.youtube.com/watch?v=rddtA7_dhPk
"

전화번호 목록 프로그래머스 C++ 문제 풀이
",https://www.youtube.com/watch?v=tC9CBWSzEBk
"

현직 개발자가 알려주는 프로그래머스 문제풀이
",https://www.youtube.com/watch?v=LiJh0h1JKG4
"

프로그래밍 공부 순서, 프로그래머 테크트리
",https://www.youtube.com/watch?v=rnlitLVv3Jc
"

[Swift] 프로그래머스 두 개 뽑아서 더하기
",https://www.youtube.com/watch?v=fXj2Cog1hS0
"

프로그래머스 국비교육 코딩테스트 합격? 불합격?
",https://www.youtube.com/watch?v=57bq77WnTIU
